sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
103.0,3,2.0,3.0,235402,2285,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
103.0,3,2.0,1.0,235172,2283,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
103.0,3,2.0,5.0,236227,2293,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
114.0,3,2.0,2.0,254710,2234,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
150.0,2,1.0,4.0,159000,1060,0,1,1993.0,0,0,0,0,1,0,1,0,1,0.1902237442922374
140.0,3,3.0,7.0,272500,1946,2,0,2004.0,1,1,0,1,1,0,1,1,0,0.2200382716049383
58.0,3,1.0,2.0,85000,1466,1,0,1951.0,1,0,0,0,0,0,0,0,0,0.2095736842105263
65.0,3,1.0,1.0,94000,1446,1,0,1970.0,1,1,0,0,1,0,0,0,0,0.1526878378378378
110.0,4,2.0,1.0,175000,1591,1,0,1978.0,0,1,0,0,1,1,0,0,0,0.2095736842105263
173.0,4,2.0,2.0,268000,1549,1,0,2003.0,1,1,0,1,0,0,1,0,1,0.1739828358208955
75.0,2,1.0,3.0,156000,2080,3,0,1970.0,1,1,0,0,1,0,1,0,0,0.1739828358208955
90.0,1,1.0,7.0,183159,2035,3,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
125.0,3,2.0,1.0,210000,1680,1,0,1996.0,1,1,0,0,0,0,1,0,1,0.2095736842105263
58.0,2,1.0,0.0,85000,1466,1,0,1968.0,0,0,0,0,0,0,0,0,0,0.1902237442922374
92.0,3,1.0,6.0,159900,1738,1,0,1962.0,1,0,0,0,1,0,0,0,0,0.1888532608695652
70.0,2,1.0,3.0,117000,1671,1,0,1975.0,1,1,0,0,0,0,0,0,0,0.1902237442922374
54.0,2,1.0,2.0,110000,2037,1,0,1960.0,0,0,0,0,0,1,0,0,0,0.1902237442922374
52.0,2,1.0,1.0,100000,1923,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
108.0,3,1.0,2.0,140000,1296,1,0,1995.0,1,1,0,0,1,0,0,0,0,0.1902237442922374
65.0,2,1.0,3.0,106500,1638,1,0,1963.0,1,1,0,0,1,0,0,0,0,0.2095736842105263
102.0,3,2.0,3.0,127500,1250,1,0,1964.0,0,0,0,0,1,0,0,0,0,0.2095736842105263
80.0,2,1.0,3.0,148000,1850,1,0,1999.0,1,1,0,0,1,0,1,1,1,0.1902237442922374
108.0,2,1.0,4.0,205000,1898,2,0,2002.0,1,0,0,1,1,0,1,0,1,0.2200382716049383
80.0,3,2.0,4.0,220000,2750,1,0,2000.0,1,1,0,1,0,0,0,1,1,0.2095736842105263
