sq_mt_built,floor,buy_price,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
64.0,5.0,104000,1,0,1970.0,1,0,0,0,0,0,0,0,0.1888532608695652
107.0,6.0,228629,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
76.0,6.0,169021,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
109.0,5.0,223022,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
108.0,5.0,220072,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
103.0,6.0,235718,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
103.0,1.0,245000,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
143.0,0.0,260000,1,0,8170.0,0,0,0,0,0,1,1,1,0.2200382716049383
99.0,6.0,235000,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
100.0,3.0,235000,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
176.0,6.0,265000,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
87.0,2.0,190000,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
106.0,4.0,256115,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
113.0,0.0,261989,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
115.0,1.0,273353,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
129.0,7.0,297621,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
115.0,6.0,279778,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
110.0,0.0,135000,1,1,1970.0,1,0,0,1,0,1,0,0,0.1739828358208955
90.0,2.0,195000,1,0,1985.0,1,0,0,1,0,1,0,0,0.1888532608695652
60.0,1.0,126900,1,1,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
54.0,4.0,136400,1,0,1970.0,0,0,0,1,0,0,0,0,0.1888532608695652
80.0,0.0,145000,1,0,1970.0,1,1,0,1,0,0,0,0,0.1902237442922374
73.0,1.0,127500,1,0,1999.0,0,1,0,0,0,0,0,0,0.1902237442922374
122.0,0.0,179000,1,0,1999.0,0,0,0,0,0,0,0,1,0.1902237442922374
98.0,0.0,266122,1,0,2020.0,0,1,0,1,0,1,1,1,0.2200382716049383
97.0,0.0,261989,1,0,2020.0,1,1,0,1,0,1,1,1,0.2200382716049383
111.0,7.0,297621,3,0,2020.0,1,1,0,1,0,1,1,1,0.2200382716049383
99.0,3.0,251569,1,0,2020.0,1,1,0,1,0,1,1,1,0.2200382716049383
77.0,1.0,113500,1,1,1968.0,0,0,0,0,0,0,0,0,0.1739828358208955
85.0,4.0,138000,1,0,1966.0,0,0,0,1,0,0,0,0,0.1902237442922374
90.0,2.0,225000,1,0,1970.0,1,1,0,0,0,1,1,1,0.2200382716049383
133.0,6.0,264000,1,0,2003.0,1,1,0,1,1,1,1,1,0.2095736842105263
60.0,2.0,98260,1,0,1960.0,0,0,0,0,0,0,0,0,0.2095736842105263
133.0,7.0,275000,1,0,2004.0,0,1,0,1,0,1,0,0,0.2200382716049383
85.0,2.0,124000,1,0,1967.0,1,0,0,0,1,0,0,0,0.1902237442922374
59.0,3.0,164513,1,0,8170.0,0,1,0,1,0,1,1,1,0.1888532608695652
59.0,1.0,164416,1,0,8170.0,0,1,0,1,0,1,1,1,0.1888532608695652
58.0,4.0,165435,1,0,8170.0,0,1,0,1,0,1,1,1,0.1888532608695652
79.0,1.0,202629,1,0,8170.0,0,1,0,1,0,1,1,1,0.1888532608695652
60.0,0.0,164242,1,0,8170.0,0,1,0,1,0,1,1,1,0.1888532608695652
121.0,3.0,260000,1,0,2001.0,1,1,0,1,1,1,1,1,0.2095736842105263
126.0,2.0,294900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
134.0,1.0,319900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
111.0,1.0,259900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
122.0,2.0,285900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
125.0,1.0,289900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
102.0,1.0,249900,1,0,8170.0,0,1,0,1,0,1,1,1,0.1902237442922374
104.0,1.0,273352,1,0,2020.0,1,1,0,1,0,1,1,1,0.2200382716049383
66.0,1.0,104900,1,0,1970.0,0,1,0,1,0,0,0,0,0.1526878378378378
95.0,2.0,155000,1,0,1965.0,0,0,0,1,1,0,0,0,0.1902237442922374
74.0,1.0,100000,1,0,1968.0,0,0,0,0,0,0,0,0,0.1526878378378378
97.0,0.0,210000,1,0,2003.0,0,1,0,1,0,1,0,1,0.2200382716049383
90.0,7.0,240000,3,0,2004.0,1,1,0,0,0,1,0,1,0.1902237442922374
